Hot-film,,Vertical plane,,Horizontal plane,
X,Y,X,Y,X,Y
0.05437352245862881,0.6408450704225354,-0.3262411347517732,0.5440140845070424,-0.3617021276595746,0.5316901408450705
0.4893617021276596,0.290492957746479,-0.30732860520094574,0.5440140845070424,-0.35697399527186774,0.5211267605633804
1.085106382978723,0.6514084507042255,-0.29314420803782515,0.5369718309859156,-0.3333333333333335,0.5140845070422536
,,-0.2765957446808512,0.5299295774647889,-0.3049645390070923,0.5017605633802819
,,-0.2624113475177306,0.5140845070422536,-0.2789598108747046,0.48239436619718323
,,-0.24349881796690315,0.49823943661971837,-0.25531914893617036,0.45950704225352124
,,-0.22458628841607575,0.47535211267605637,-0.22931442080378261,0.4348591549295775
,,-0.2127659574468086,0.4542253521126761,-0.2009456264775415,0.41373239436619735
,,-0.1938534278959812,0.43661971830985924,-0.17730496453900713,0.4031690140845071
,,-0.17730496453900713,0.42253521126760574,-0.1513002364066195,0.39612676056338036
,,-0.1583924349881798,0.40845070422535223,-0.12765957446808518,0.39964788732394374
,,-0.1442080378250592,0.3890845070422536,-0.09929078014184411,0.392605633802817
,,-0.13002364066193872,0.369718309859155,-0.07328605200945637,0.2764084507042254
,,-0.11347517730496459,0.35387323943661975,0.028368794326241065,0.41373239436619735
,,-0.09456264775413714,0.34507042253521136,0.05200945626477527,0.49647887323943674
,,-0.08037825059101666,0.3380281690140846,0.08274231678486987,0.42429577464788737
,,-0.061465721040189214,0.2781690140845071,0.10638297872340419,0.35915492957746487
,,0.1300236406619385,0.3380281690140846,0.1300236406619385,0.30809859154929586
,,0.14893617021276584,0.32218309859154937,0.15602836879432613,0.2764084507042254
,,0.16312056737588654,0.3098591549295775,0.1843971631205673,0.24823943661971826
,,0.18203309692671377,0.2975352112676056,0.21040189125295494,0.22711267605633811
,,0.1985815602836879,0.2869718309859156,0.23404255319148926,0.20422535211267612
,,0.21276595744680848,0.2693661971830986,0.260047281323877,0.1848591549295775
,,0.23167848699763594,0.24295774647887336,0.28605200945626474,0.16725352112676062
,,0.24822695035460984,0.23063380281690138,0.3120567375886524,0.15140845070422537
,,0.26241134751773043,0.216549295774648,0.3356973995271867,0.13732394366197187
,,0.2813238770685579,0.21478873239436636,0.3617021276595743,0.1250000000000001
,,0.29550827423167836,0.21126760563380287,0.3900709219858155,0.11443661971830987
,,0.3120567375886524,0.20070422535211274,0.4137115839243498,0.10563380281690138
,,0.3286052009456263,0.18133802816901423,0.43971631205673745,0.10035211267605626
,,0.3451536643026004,0.16021126760563387,0.4680851063829786,0.09330985915492962
,,0.3617021276595743,0.14612676056338025,0.49172576832151293,0.08450704225352124
,,0.3758865248226949,0.13556338028169024,0.5177304964539006,0.07570422535211274
,,0.39243498817966904,0.12323943661971826,0.5413711583924349,0.06866197183098599
,,0.41134751773049627,0.11267605633802813,0.5697399527186761,0.06690140845070414
,,0.42553191489361686,0.10211267605633811,0.5957446808510637,0.06338028169014098
,,0.44680851063829785,0.08978873239436613,0.619385342789598,0.059859154929577496
,,0.4657210401891253,0.08450704225352124,0.6453900709219856,0.051056338028169
,,1.2434988179669029,0.22711267605633811,0.6737588652482268,0.045774647887323994
,,1.226950354609929,0.2693661971830986,0.6973995271867611,0.04929577464788726
,,1.2127659574468086,0.35035211267605637,0.723404255319149,0.06161971830985902
,,1.1938534278959811,0.38732394366197187,0.7470449172576833,0.07394366197183111
,,1.1796690307328603,0.42781690140845074,0.7754137115839242,0.09330985915492962
,,1.1631205673758864,0.466549295774648,0.8014184397163121,0.1109154929577465
,,1.1465721040189125,0.5000000000000001,0.8250591016548462,0.13556338028169024
,,1.1323877068557917,0.5281690140845071,0.8534278959810874,0.16373239436619724
,,1.1134751773049643,0.5475352112676057,0.879432624113475,0.20422535211267612
,,1.0945626477541368,0.5528169014084509,0.9030732860520093,0.21478873239436636
,,1.0803782505910164,0.5598591549295775,0.9290780141843972,0.221830985915493
,,1.0638297872340425,0.38732394366197187,1.0307328605200943,0.4066901408450705
,,0.983451536643026,0.2693661971830986,1.0591016548463354,0.5809859154929579
,,0.9669030732860521,0.244718309859155,1.085106382978723,0.5985915492957747
,,0.9503546099290777,0.20774647887323938,1.1087470449172576,0.5598591549295775
,,0.9314420803782505,0.17781690140845074,1.1323877068557917,0.5070422535211269
,,0.9172576832151299,0.15316901408450712,1.1607565011820329,0.4542253521126761
,,0.900709219858156,0.13556338028169024,1.186761229314421,0.4031690140845071
,,0.8841607565011821,0.12147887323943662,1.210401891252955,0.36267605633802824
,,0.8699763593380615,0.10563380281690138,1.2364066193853427,0.318661971830986
,,0.8534278959810874,0.096830985915493,1.2647754137115839,0.27464788732394374
,,0.8392434988179668,0.08978873239436613,1.2907801418439715,0.23239436619718323
,,0.8203309692671393,0.0880281690140845,1.3144208037825056,0.20070422535211274
,,0.8014184397163121,0.08626760563380287,1.3427895981087468,0.1390845070422535
,,0.7872340425531915,0.08626760563380287,,
,,0.7730496453900707,0.08274647887323938,,
,,0.7541371158392435,0.08098591549295775,,
,,0.7375886524822693,0.07746478873239437,,
,,0.7210401891252954,0.07394366197183111,,
,,0.7044917257683213,0.07218309859154926,,
,,0.6879432624113474,0.07570422535211274,,
,,0.6713947990543735,0.07922535211267612,,
,,0.6572104018912529,0.08274647887323938,,
,,0.6382978723404255,0.08274647887323938,,
,,0.6241134751773049,0.08098591549295775,,
,,0.6075650118203307,0.07922535211267612,,
,,0.5886524822695035,0.07570422535211274,,
,,0.5744680851063829,0.07218309859154926,,
,,0.5555555555555552,0.07042253521126762,,
,,0.49172576832151293,0.08274647887323938,,
,,0.5082742316784868,0.07922535211267612,,
,,0.5248226950354608,0.07394366197183111,,
,,0.5413711583924349,0.07042253521126762,,
